scenario;region;crop;water;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
Reference;USA;Legumes;RFD;5.9187644;7.4235586;8.2100666;8.8953476;9.359666904;9.87243811;10.34268603;10.77874475;11.07714946;11.26647634;11.43797575;thous km2
Reference;USA;MiscCrop;IRR;1.0989634;0.5692644;0.5468106;0.5693018;0.586170673;0.604550303;0.623273905;0.64164185;0.660973895;0.678285279;0.69428808;thous km2
Reference;USA;MiscCrop;RFD;1.9604892;1.0151564;0.974887;0.9989222;1.02441471;1.056318674;1.090060496;1.122425862;1.151508491;1.173690367;1.195292504;thous km2
Reference;USA;MiscCropTree;IRR;0.002309;0.001622;0.0027528;0.0029;0.00303853;0.00296221;0.00297629;0.00297113;0.00297744;0.0029637;0.00298381;thous km2
Reference;USA;MiscCropTree;RFD;0.339044;0.2549288;0.415936;0.444308;0.465161184;0.455967378;0.459531252;0.460349856;0.462775616;0.46217862;0.466453977;thous km2
Reference;USA;NutsSeeds;IRR;2.1778716;1.6727184;1.6239758;1.6267048;1.722350359;1.817531896;1.897682475;1.978140633;2.038437246;2.077790653;2.104845838;thous km2
Reference;USA;NutsSeeds;RFD;4.9237332;3.781673;3.6714906;3.6773104;3.868881121;4.047994945;4.196848931;4.342979515;4.435012273;4.473937682;4.489548432;thous km2
Reference;USA;NutsSeedsTree;IRR;2.987541;3.8287632;4.7246878;5.7727076;6.088110874;6.37047123;6.611168476;6.832542083;7.004064752;7.126463289;7.208773983;thous km2
Reference;USA;NutsSeedsTree;RFD;0.3285002;0.4145362;0.5040522;0.6028596;0.634206966;0.668556227;0.699908438;0.73044444;0.748199223;0.755313704;0.759718738;thous km2
Reference;USA;OilCrop;IRR;0.6605;1.0005648;0.914345;0.911226;0.991739921;1.062661855;1.12890134;1.158287164;1.187413025;1.220293167;1.245238516;thous km2
Reference;USA;OilCrop;RFD;10.0515982;15.079094;13.7754758;13.724285;14.05879965;14.30190205;14.52805814;14.73023132;14.85264242;14.96725081;15.07133638;thous km2
