scenario;region;subsector;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B;New York grid;electricity;0.482375;0.562168;0.521444;0.525644;0.5313;0.568587;0.660326;0.736143;0.810794;0.985951;1.19889;EJ
CO2B;Northwest grid;ID;0.0234667;0.031583;0.0363954;0.0435104;0.049431;0.0530863;0.0607947;0.0665608;0.073437;0.0831497;0.101131;EJ
CO2B;Northwest grid;ID;0.00776809;0.00380812;0.0039743;0.0103529;0.00936838;0.00949528;0.00892627;0.00756311;0.0060974;0.00560936;0.00679661;EJ
CO2B;Northwest grid;ID;0;0.000171104;0.000102998;0.000280592;0.000283575;0.000295504;0.000282372;0.000276861;0.000281879;0.00032424;0.000372916;EJ
CO2B;Northwest grid;ID;7.26009E-05;0.00126091;0.00102149;0.00186757;0.00218294;0.00240739;0.00257376;0.00271741;0.00292315;0.00341732;0.00390388;EJ
CO2B;Northwest grid;MT;0.0492112;0.0610983;0.0592293;0.0616754;0.0725711;0.0995563;0.158896;0.215137;0.272734;0.401945;0.522667;EJ
CO2B;Northwest grid;MT;0.0413286;0.0487889;0.0538243;0.051865;0.0595326;0.07522;0.0832752;0.0864961;0.0958183;0.109284;0.127923;EJ
CO2B;Northwest grid;MT;0.000871985;3.10008E-06;0.00129448;6.70981E-05;0.000063453;6.34108E-05;5.46205E-05;5.00218E-05;4.82611E-05;5.46026E-05;6.44571E-05;EJ
CO2B;Northwest grid;MT;0.00617948;0.000594006;0.00138349;0.000523392;0.000587867;0.000626568;0.00063119;0.000647996;0.000682897;0.000698985;0.000801409;EJ
CO2B;Northwest grid;NV;0.0286587;0.0370162;0.0367784;0.0405426;0.0408191;0.0443833;0.0510102;0.0559873;0.06428;0.0853558;0.105759;EJ
CO2B;Northwest grid;NV;0.0395712;0.0933075;0.0743907;0.0815273;0.0808086;0.0807334;0.0900557;0.099618;0.106365;0.130872;0.170647;EJ
CO2B;Northwest grid;NV;0.00112038;0.00224686;0.00150888;0.00218604;0.00291585;0.00347692;0.00467905;0.00566553;0.0067017;0.00841719;0.010548;EJ
CO2B;Northwest grid;NV;0.0082607;0.0158742;0.0155625;0.020068;0.0240773;0.027458;0.0344363;0.0403846;0.0468711;0.0558852;0.0698299;EJ
CO2B;Northwest grid;OR;0.131456;0.121993;0.138254;0.150169;0.171119;0.179944;0.195806;0.20818;0.22326;0.241225;0.281078;EJ
CO2B;Northwest grid;OR;0.0399179;0.0372655;0.0447721;0.0472037;0.0419518;0.0408118;0.0391103;0.0359749;0.0311809;0.0295786;0.0354409;EJ
CO2B;Northwest grid;OR;0.000155597;0.00131693;0.000916285;0.00118287;0.00119323;0.00124225;0.0011849;0.00116037;0.00118016;0.00135678;0.00156079;EJ
CO2B;Northwest grid;OR;0.00117061;0.0092955;0.00827935;0.00667399;0.00716523;0.00773166;0.00791065;0.00812385;0.00856687;0.0108834;0.0128119;EJ
CO2B;Northwest grid;UT;0.0432116;0.0529226;0.0448622;0.0377884;0.040648;0.054911;0.0652429;0.0805712;0.101224;0.150333;0.195704;EJ
CO2B;Northwest grid;UT;0.0618667;0.0926074;0.10529;0.10979;0.167055;0.20901;0.273577;0.335972;0.410006;0.531098;0.650413;EJ
CO2B;Northwest grid;UT;0.00166157;0.000187505;0.000501492;0.000584484;0.00072739;0.000842562;0.00105586;0.00122293;0.00140244;0.00172183;0.00209208;EJ
CO2B;Northwest grid;UT;0.0118043;0.00143612;0.00392618;0.00379574;0.00498137;0.00595389;0.00778983;0.00925058;0.0108276;0.0144323;0.017604;EJ
CO2B;Northwest grid;WA;0.255891;0.3133;0.317584;0.337313;0.401474;0.437407;0.489174;0.526696;0.571011;0.641047;0.763165;EJ
CO2B;Northwest grid;WA;0.0888756;0.0487237;0.0502274;0.0516402;0.0488379;0.0412422;0.0412002;0.0399511;0.0363588;0.0354135;0.0430767;EJ
CO2B;Northwest grid;WA;0.000419993;0.000988025;0.000710188;0.00103457;0.000987589;0.00099177;0.000861389;0.000793765;0.000770185;0.000872549;0.0010229;EJ
CO2B;Northwest grid;WA;0.00296484;0.00691667;0.00607406;0.00548801;0.00543716;0.00559184;0.00510925;0.0048958;0.00489777;0.00646251;0.00780897;EJ
CO2B;Northwest grid;electricity;0.845905;0.982705;1.00686;1.06713;1.23422;1.38248;1.62364;1.8339;2.07693;2.54944;3.13222;EJ
CO2B;Southeast grid;AL;0.173578;0.314997;0.330269;0.340043;0.341391;0.359348;0.349216;0.343224;0.341329;0.409921;0.542548;EJ
CO2B;Southeast grid;AL;0.10761;0.168258;0.19258;0.181914;0.185612;0.197923;0.211836;0.245163;0.276;0.338153;0.437475;EJ
CO2B;Southeast grid;AL;0.000889357;0.00205071;0.00128778;0.00277001;0.00290674;0.00314826;0.00343273;0.00392519;0.00439191;0.00532645;0.00689415;EJ
CO2B;Southeast grid;AL;0.0066026;0.013767;0.0215895;0.0186959;0.0195308;0.0212377;0.0231676;0.0266938;0.0300581;0.0384103;0.0497894;EJ
CO2B;Southeast grid;AR;0.0898256;0.110005;0.136506;0.139617;0.157752;0.169602;0.182647;0.215672;0.256822;0.348341;0.4577;EJ
CO2B;Southeast grid;AR;0.0465696;0.0557703;0.0761995;0.0553407;0.0600781;0.0647481;0.0640505;0.067245;0.0730941;0.0871869;0.112656;EJ
CO2B;Southeast grid;AR;0.000762749;0.000960406;0.000444694;0.000763876;0.000745914;0.000768905;0.000733821;0.000761976;0.000800702;0.000928293;0.00119469;EJ
