scenario;region;sector;input;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;end-use sector
CO2B;AL;resid clothes washers;electricity;0;7.20E-04;7.24E-04;5.22E-04;4.53E-04;4.12E-04;3.73E-04;3.14E-04;3.37E-04;3.59E-04;3.82E-04;EJ;buildings
CO2B;AL;resid computers;electricity;0;0.0013377;0.0029903;0.00197696;0.0017689;0.00149665;0.00127081;0.00107331;8.95E-04;9.39E-04;9.83E-04;EJ;buildings
CO2B;AL;resid cooking;electricity;0.001845;0.00209925;0.00239741;0.00188124;0.002090161;0.002348168;0.002675822;0.003005331;0.0034361;0.00378445;0.004180113;EJ;buildings
CO2B;AL;resid cooking;gas;0.0018127;0.00166914;0.0015194;0.00206115;0.00199718;0.001930692;0.001802335;0.001607724;0.001292617;0.001090839;8.34E-04;EJ;buildings
CO2B;AL;resid cooking;refined liquids;1.47E-04;6.11E-05;5.11E-04;1.29E-04;1.24E-04;1.20E-04;1.12E-04;1.08E-04;9.67E-05;8.67E-05;7.00E-05;EJ;buildings
CO2B;AL;resid cooling;electricity;0.0183124;0.0327078;0.0291378;0.0263882;0.028581763;0.030240329;0.031713432;0.033158829;0.034808241;0.036672643;0.03870573;EJ;buildings
CO2B;AL;resid dishwashers;electricity;0;0.0019757;0.0022488;0.0017013;0.001758002;0.001811654;0.00184426;0.001865211;0.001889368;0.001985506;0.002085591;EJ;buildings
CO2B;AL;resid freezers;electricity;0.00258305;0.00172879;0.00179057;0.00138397;0.001448879;0.00153225;0.001627583;0.00170685;0.001792674;0.001879419;0.001967161;EJ;buildings
CO2B;AL;resid furnace fans;electricity;0;0.0012143;0.0028011;0.0019588;0.00184883;0.00175491;0.00168924;0.00162733;0.00157339;0.00165136;0.00173019;EJ;buildings
CO2B;AL;resid heating;biomass;0.0126973;0.0049649;0.00675621;0.0017364;0.001579287;0.001487712;0.001398363;0.001169406;8.80E-04;6.02E-04;3.78E-04;EJ;buildings
CO2B;AL;resid heating;coal;0.0013423;3.40E-06;0;0;0;0;0;0;0;0;0;EJ;buildings
CO2B;AL;resid heating;electricity;0.00632467;0.0068895;0.01209131;0.01695141;0.017764091;0.018181417;0.018525404;0.018849612;0.019244014;0.019921447;0.020732699;EJ;buildings
CO2B;AL;resid heating;gas;0.027723898;0.0228244;0.0222258;0.017598201;0.015824209;0.014609466;0.012780807;0.01039377;0.007819631;0.005422917;0.003552334;EJ;buildings
CO2B;AL;resid heating;refined liquids;0.006318079;0.0039353;0.0055459;0.00234941;0.002112728;0.001953152;0.001727865;0.001459924;0.001168179;8.72E-04;6.26E-04;EJ;buildings
CO2B;AL;resid hot water;electricity;0.010437;0.0144671;0.0181006;0.022178;0.024093775;0.026037798;0.027709798;0.028348701;0.028845771;0.029590299;0.030742551;EJ;buildings
CO2B;AL;resid hot water;gas;0.0138075;0.0158814;0.0146944;0.009059;0.00814923;0.007650095;0.007164053;0.005626501;0.005180651;0.004089739;0.002919103;EJ;buildings
CO2B;AL;resid hot water;refined liquids;7.04E-04;0.0014828;0.0012529;6.85E-04;6.63E-04;7.18E-04;8.70E-04;0.001196413;0.00136985;0.001281683;0.001089526;EJ;buildings
CO2B;AL;resid lighting;electricity;0.0114391;0.0149621;0.0151169;0.008604299;0.005791132;0.002308549;0.002066237;0.002047715;0.002144908;0.002235379;0.00233232;EJ;buildings
CO2B;AL;resid other;electricity;0.0083026;0.0207864;0.0249815;0.0197974;0.0215114;0.0229101;0.0243978;0.0257432;0.027335;0.0293156;0.0311457;EJ;buildings
CO2B;AL;resid other;gas;5.33E-04;0;0.0017748;0.0023555;0.00186604;0.00193346;0.00212812;0.00217599;0.0021199;0.00163038;0.00129029;EJ;buildings
CO2B;AL;resid other;refined liquids;4.41E-04;2.95E-04;7.98E-04;2.28E-04;1.74E-04;1.80E-04;1.95E-04;2.18E-04;2.12E-04;1.58E-04;1.25E-04;EJ;buildings
CO2B;AL;resid refrigerators;electricity;0.0086716;0.0081087;0.00857441;0.00649961;0.006759434;0.007108629;0.007496373;0.007813822;0.008155899;0.008542373;0.008934087;EJ;buildings
CO2B;AL;resid televisions;electricity;0.0035055;0.0061536;0.0076626;0.00568027;0.00536595;0.00531468;0.00568585;0.00599672;0.00633514;0.00665235;0.00697482;EJ;buildings
CO2B;AL;trn_aviation_intl;electricity;0;0;0;0;0;0;0;1.13E-09;1.22E-08;2.15E-07;3.21E-06;EJ;transportation
CO2B;AL;trn_aviation_intl;hydrogen;0;0;0;0;0;0;0;9.74E-10;2.33E-08;6.94E-07;1.47E-05;EJ;transportation
CO2B;AL;trn_aviation_intl;refined liquids;0.00224521;0.00296301;0.00248633;0.00372057;0.00386715;0.00376765;0.00362335;0.00355514;0.00364609;0.0035224;0.00347479;EJ;transportation
CO2B;AL;trn_freight;electricity;0;0;0;0;0;1.34E-04;5.79E-04;0.001123053;0.001475207;0.002000489;0.002675327;EJ;transportation
CO2B;AL;trn_freight;hydrogen;0;0;0;0;0;1.90E-04;7.07E-04;0.001367162;0.001786446;0.002201516;0.00253265;EJ;transportation
CO2B;AL;trn_freight;refined liquids;0.01225249;0.01182603;0.010558017;0.01234181;0.012791609;0.012679541;0.010860453;0.008792563;0.007671383;0.006258785;0.005041175;EJ;transportation
CO2B;AL;trn_freight_road;electricity;0;0;0;0;0;1.20E-04;9.14E-04;0.003254025;0.007682822;0.017802645;0.035919742;EJ;transportation
CO2B;AL;trn_freight_road;hydrogen;0;0;0;0;0;4.67E-05;3.99E-04;0.001409888;0.003420718;0.008358302;0.013818762;EJ;transportation
CO2B;AL;trn_freight_road;refined liquids;0.1422656;0.1597756;0.1452252;0.1489344;0.15723627;0.158318944;0.149874598;0.137619409;0.120652471;0.082355441;0.04148331;EJ;transportation
CO2B;AL;trn_pass;electricity;0;0;0;0;2.02E-05;4.55E-05;7.44E-05;1.71E-04;3.64E-04;0.001233649;0.003593386;EJ;transportation
CO2B;AL;trn_pass;hydrogen;0;0;0;0;0;0;0;1.41E-05;5.21E-05;2.80E-04;0.00100965;EJ;transportation
CO2B;AL;trn_pass;refined liquids;0.008980279;0.011771899;0.009910179;0.014636599;0.015254308;0.016117338;0.015614542;0.015189782;0.014758973;0.011495875;0.007225194;EJ;transportation
CO2B;AL;trn_pass_road;electricity;0;0;0;0;0;1.44E-05;6.71E-05;1.93E-04;3.39E-04;4.60E-04;5.28E-04;EJ;transportation
CO2B;AL;trn_pass_road;gas;0;5.57E-04;8.72E-04;0.00116219;0.001651318;0.001608964;0.001156598;7.85E-04;5.88E-04;4.33E-04;3.26E-04;EJ;transportation
CO2B;AL;trn_pass_road;hydrogen;0;0;0;0;0;2.20E-05;9.67E-05;2.61E-04;4.27E-04;5.42E-04;5.78E-04;EJ;transportation
CO2B;AL;trn_pass_road;refined liquids;0.00545584;0.00612733;0.00556935;0.00571154;0.00841413;0.009740423;0.008328562;0.006776371;0.005308931;0.004080369;0.003215092;EJ;transportation
CO2B;AL;trn_pass_road_LDV;electricity;0;0;0;0;0;1.74E-04;2.95E-04;3.37E-04;3.95E-04;4.78E-04;5.60E-04;EJ;transportation
